Subject,Requisite Type,Active,Requisite Subject List
ACC201,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
ACC202,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
ACC203,Pre Requisite,TRUE,BUS103: Accounting for Decision Making ( Level -100 )
ACC204,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
ACC302,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
ACC303,Pre Requisite,TRUE,ACC202: Financial Accounting ( Level -200 )
ACC902,Pre Requisite,TRUE,ACC901: Accounting for Managerial Decisions ( Level -900 )
FIN901: Managerial Finance ( Level -900 ),,,
ACC903,Pre Requisite,TRUE,ACC901: Accounting for Managerial Decisions ( Level -900 )
ACC904,Pre Requisite,TRUE,ACC901: Accounting for Managerial Decisions ( Level -900 )
ACC905,Pre Requisite,TRUE,ACC902: Financial Accounting and Reporting ( Level -900 )
ACC906,Pre Requisite,TRUE,ACC902: Financial Accounting and Reporting ( Level -900 )
ACC907,Pre Requisite,TRUE,ACC902: Financial Accounting and Reporting ( Level -900 )
ACC905: Auditing and Assurance ( Level -900 ),,,
BUS102,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
BUS201,Pre Requisite,TRUE,BUS102: Management Principles ( Level -100 )
BUS202,Pre Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
BUS203,Assumed Knowledge (OR) Requisite,TRUE,BUS106: Introduction to Marketing ( Level -100 )
ENT103: Entrepreneurial Marketing ( Level -100 ),,,
BUS303,Pre Requisite,TRUE,BUS105: Economics ( Level -100 )
BUS304,Pre Requisite,TRUE,BUS102: Management Principles ( Level -100 )
BUS903,Pre Requisite,TRUE,ACC901: Accounting for Managerial Decisions ( Level -900 )
ACC902: Financial Accounting and Reporting ( Level -900 ),,,
LAW901: Business and Corporation Law ( Level -900 ),,,
BUS904,Pre Requisite,TRUE,ACC903: Accounting Information Systems and Analytics ( Level -900 )
ACC906: Advanced Financial Accounting and Reporting ( Level -900 ),,,
BUS902: Data Analytics ( Level -900 ),,,
BUS905,Pre Requisite,TRUE,ACC903: Accounting Information Systems and Analytics ( Level -900 )
ENT202,Pre Requisite,TRUE,ENT101: Introduction to Entrepreneurship and Innovation ( Level -100 )
ENT102: Creativity and Innovation for Business ( Level -100 ),,,
ENT203,Pre Requisite,TRUE,ENT101: Introduction to Entrepreneurship and Innovation ( Level -100 )
ENT301,Select (OR) Requisite,TRUE,ACC101: Accounting Practice ( Level -100 )
ENT303,Pre Requisite,TRUE,ENT201: Practices of Entrepreneurship ( Level -200 )
ENT304,Assumed Knowledge (OR) Requisite,TRUE,ENT103: Entrepreneurial Marketing ( Level -100 )
ENT305,Pre Requisite,TRUE,BUS106: Introduction to Marketing ( Level -100 )
BUS202: Business Planning ( Level -200 ),,,
BUS301: The Digital Economy ( Level -300 ),,,
ENT304: Integrated Marketing Communications ( Level -300 ),,,
ENT306,Pre Requisite,TRUE,ENT201: Practices of Entrepreneurship ( Level -200 )
ENT307,Pre Requisite,TRUE,BUS106: Introduction to Marketing ( Level -100 )
